name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
模块化要塞,TDB_ji_yu_yun,0,,穿越者设计局,special,"特殊, 穿越者设计局设计",,,TRUE,TRUE,0,0,0,0,data.hullmods.TDB_ji_yu_yun,,,
弱磁化镀层,TDB_ruo_ci_du_cheng,0,,穿越者设计局,special,"特殊, 防御, 穿越者设计局设计",5000,,TRUE,,0,0,0,0,data.hullmods.TDB_ruo_ci_du_cheng,"穿越者协会特制的镀层，利用弱磁化的效果偏转削弱来自太阳风暴{%s}与 EMP 击穿{%s}对舰船的影响。

该镀层广泛应用于穿越者协会所研制的舰体上。",提升舰体对太阳风暴与EMP的抗性。,graphics/hullmods/TDB_ruo_ci.png
纳米集群,TDB_na_mi,0,,灰色风暴[唯一],special,"特殊, 穿越者设计局设计",2500,,TRUE,,0,8,15,20,data.hullmods.TDB_na_mi,"灰风是由一群纳米机器人组成的，因此她的千变万化可以做到很多事情。

在登陆战斗时灰风可以加入战场增加{%s}突袭殖民地的有效强度，同时灰风极强的 AI 可以为舰队提供{%s}电子战强度。",灰风,graphics/hullmods/TDB_na_mi.png
预警雷达,TDB_lei_da,0,,穿越者设计局,special,"特殊, 雷达",2500,,TRUE,,0,8,15,20,data.hullmods.TDB_lei_da,内置于穿云级的巨大探测雷达，能为舰船提供{%s}的视野和{%s}的电子战效果。,提升视野与电子战能力,graphics/hullmods/TDB_lei_da.png
迎风面自律系统,TDB_zi_dong_jian_chuan,0,,穿越者设计局,special,"特殊, 穿越者设计局设计",2500,,TRUE,,0,8,15,20,data.hullmods.TDB_zi_dong_jian_chuan,这是一艘全自动舰船，搭载的协会的特殊 AI 核心。,全自动舰船,graphics/hullmods/TDB_he_xin.png
自动化校准协议,TDB_Automated,0,,穿越者设计局,"defensive, merc, TDB_cj","后勤, 穿越者设计局设计",2500,,,,4,8,15,20,data.hullmods.TDB_Automated,通过搭载协会制式舰船辅助 AI 系统，并接入舰船原有的智能操控系统中，使更加高效的自动辅助AI自动执行大多高危高疲劳的工作岗位，同时，为了保证历史不会重演以及智能ai系统在战场上遭遇突发状况时候应变能力不足的问题，依旧保留了关键部分人工操作的空间。该插件大大减少{%s}该舰所需操作人员数量以及{%s}载员量，最大限度上的减小了人员的伤亡。同时提高了舰船引擎/武器故障检修速度{%s}。,降低舰船的人员需求，减少最大载员量，加快舰船各系统维修速度,graphics/hullmods/TDB_ai.png
综合推进系统,TDB_you_ji,0,,穿越者设计局,"engines, merc, TDB_cj","引擎, 穿越者设计局设计",2500,,,,6,10,18,28,data.hullmods.TDB_you_ji,根据舰船规模为舰船提供基础值为{%s/%s/%s/%s}并随幅能增高而降低的最高战斗航速，且当舰船幅能水平高于{%s}时为舰船提供随幅能水平整加而上升的机动性加成最高为{%s},增加航速与机动性,graphics/hullmods/TDB_you_ji.png
先进航空设备,TDB_hang_kong,0,,穿越者设计局,"special, merc, TDB_cj","战机, 穿越者设计局设计",4000,,,,15,20,25,35,data.hullmods.TDB_hang_kong,提高舰载机{%s}的作战半径和{%s}的能量/实弹武器伤害，同时降低{%s}战机损失时整备下降速率，提高{%s}整备恢复速率。,提高战机替补速率，增加战机作战范围和武器伤害,graphics/hullmods/TDB_hang_kong.png
天穹系统,TDB_qiong_ding,0,,穿越者设计局,special,"天穹系统, 穿越者设计局设计",4000,,TRUE,TRUE,0,0,0,0,data.hullmods.TDB_qiong_ding,包含纳米机库，传送仪等在内的一整套系统，可以全自动生产部署无人炮台，是穹顶级最为核心的模块。,天穹系统,graphics/hullmods/TDB_tian_qiong.png
[天穹]反击协议,TDB_qiong_ding_G,0,,穿越者设计局,"special, no_build_in","天穹系统, 穿越者设计局设计",4000,TRUE,,,0,0,0,0,data.hullmods.TDB_qiong_dong_G,将穹顶级部署的炮台调整为攻击模式。,将穹顶级部署的炮台调整为攻击模式。,graphics/hullmods/TDB_tian_qiong.png
集成打捞起重机,TDB_RepairGantry,0,,穿越者设计局,special,"后勤, 穿越者设计局设计",,,TRUE,,5,10,20,40,data.hullmods.TDB_RepairGantry,提高{%s}从遗弃物、舰船残骸等打捞到的资源，只影响普通资源的回收，如燃料与补给，而蓝图等稀有物资将不受影响。此外也提高 {%s}战后打捞效率。,提高打捞收益。,graphics/hullmods/repair_gantry.png
辉光管控能系统,TDB_rzg,0,,北国芳华[唯一],special,"特殊, 穿越者设计局设计, 北国芳华",2500,,TRUE,,0,0,0,0,data.hullmods.TDB_rzg,"人造光的内置系统。

此系统曾在(白巫女)行动中被重创，在这之前该系统被命名为""辉光管超载系统""，其主要的功能是在战斗时将一切可用能量汇聚于武器系统。

舰船在归入穿越者协会旗下后接受了彻底的私人翻修与改造。
",根据幅能状态提供不同增益,graphics/hullmods/TDB_rzg.png
三色堇,TDB_san_se_jin,0,,穿越者设计局,special,"特殊, 穿越者设计局设计",2500,,TRUE,,0,8,15,20,data.hullmods.TDB_san_se_jin,三色堇每触发一个弹幕耗散150软幅能，若软幅能已耗空，则按照3：1比率额外耗散硬幅能。,三色堇,graphics/hullmods/resistant_flux_conduits.png
