id,type,text1,text2,text3,notes
,,,,,
,,,,,
TDB_jdgdfy,CUSTOM,"One of the components of the Overwatch programme, this forms part of an interdiction network of small and medium-sized independent unmanned orbital defence platforms that can intercept enemy ships to some extent and make enemy operations on the ground extremely difficult.",,,
TDB_planet1_description,CUSTOM,"The first and last base of the Traverser's Association, the home of the hopes of countless people. After the rebooting of the Mothership and through the efforts of the Traversers, the planet has been built into a habitable and well-defended fortress, protected by a coalition of unmanned and conventional fleets, and home to the core of the Association, the Traverser Design Bureau.",,"In addition to the Star Fortress that guards Intersection, there are countless defence platforms lined up neatly in near-Earth orbit, their flashing beacons and mounted turrets clearly visible as a net that surrounds the entire Intersection.

Below, in the darkness of night, the lights of the city decorate the planet like a starry sky, while farther away a special large platform seems to be casting a bright white glow towards the planet's backlight.",
TDB_station,CUSTOM,"One of the key factors in the settlement of the Traversers' Association, this huge orbital fortress was once a Domain Explorarium mothership, now acts is the lifeblood of the Traveller Association. Most areas of the Mothership have been completely rebuilt or dismantled in numerous systematic constructions, now rendering it as an completely unrecognisable fortress.",,"The vast Star Fortress is both an important base for the Association's space forces and one of the key anchor points for ensuring the security and normalcy of Intersection's trade, with any military and civilian ships attempting to approach being scanned by its vast radar and communications arrays.

Association-owned manned ships patrolling the perimeter, along with unmanned ships, enthusiastically guide incoming and outgoing civilian ships, making the fortress bustling but not chaotic.",
TDB_Survey_ship,CUSTOM,"An exploration mothership from the Domain period, long abandoned and quietly orbiting the Indulge. The hull is in a state of disrepair and bears the message ""Dangerous area, do not approach"" written by the Traverser's Association.",,"Most of the equipment inside the mothership of this long-dormant Domain Mothership has been removed by the Association, leaving only the vacant dock with a large open area. Some of the warning lights and signs are still barely working, particularly on the passive energy harvesters",
,,,,,
,,,,,
TDB,FACTION,"The Traverser's Association is a group of exiles from other worlds who set out to survive, having previously been part of a large mercenary group under the Freedom Alliance. As they grew in power, they settled the system they had stumbled upon and built it into a true fortress by integrating the technologies and exploration of various worlds, creating this association of travellers and like-minded people. A central body, the Traveller Design Bureau, leads the way as an extremely pro-foreigner force that is hospitable but strictly disciplined. As long as you abide by their laws, you will be more than welcome.

What is clear is that the Bureau is now offering special warships and weapons to reputable clients.",,,
,,,,,
,,,,,
TDB_quan_fan_she,SHIP,"It would be hard to find another fighter more powerful than the Total Reflection class in the entire field, with a combination of shields and armour combined with a complex but powerful weapon system that allows this super fighter to destroy frigates and even destroyers with ease. The design office has also added escort drones on both sides of the fuselage to make it equally easy to deal with swarms of fighters.",,,
TDB_mi_san_guang,SHIP,"The Atmospheric/Cosmic dual purpose UAV was developed because the Design Office's Pan-Light Unmanned Interceptor was unable to meet the air control requirements of fleet warfare. The large number of fragmentation missiles and rapid-fire machine guns were highly effective in delivering heavy hits to light targets. However, it is clear that both the air-to-air missiles and the twin-barrelled machine guns only threaten the shields of small and medium-sized ships and are therefore ineffective against heavy warships. Its excellent aerodynamic profile ensures that it can fly at very high speeds even in the atmosphere.",,,
